rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
176,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,4,4,19,19,15,15,snapshot_2026_05_21.json,snapshot_2026_05_14.json
177,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,3,3,193,193,190,190,snapshot_2026_05_21.json,snapshot_2026_05_14.json
178,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,125,125,122,122,snapshot_2026_05_21.json,snapshot_2026_05_14.json
179,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,3,3,34,34,31,31,snapshot_2026_05_21.json,snapshot_2026_05_14.json
180,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,3,3,22,22,19,19,snapshot_2026_05_21.json,snapshot_2026_05_14.json
181,map,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,17,17,14,14,snapshot_2026_05_21.json,snapshot_2026_05_14.json
182,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,190,190,188,188,snapshot_2026_05_21.json,snapshot_2026_05_14.json
183,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,2,2,134,134,132,132,snapshot_2026_05_21.json,snapshot_2026_05_14.json
184,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,2,2,130,130,128,128,snapshot_2026_05_21.json,snapshot_2026_05_14.json
185,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,83,83,81,81,snapshot_2026_05_21.json,snapshot_2026_05_14.json
186,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,2,2,49,49,47,47,snapshot_2026_05_21.json,snapshot_2026_05_14.json
187,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,2,2,43,43,41,41,snapshot_2026_05_21.json,snapshot_2026_05_14.json
188,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,2,2,28,28,26,26,snapshot_2026_05_21.json,snapshot_2026_05_14.json
189,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,2,2,26,26,24,24,snapshot_2026_05_21.json,snapshot_2026_05_14.json
190,map,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,2,2,18,18,16,16,snapshot_2026_05_21.json,snapshot_2026_05_14.json
191,map,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,12,12,10,10,snapshot_2026_05_21.json,snapshot_2026_05_14.json
192,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,2,2,0,0,snapshot_2026_05_21.json,snapshot_2026_05_14.json
193,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,1,1,83,83,82,82,snapshot_2026_05_21.json,snapshot_2026_05_14.json
194,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,1,1,77,77,76,76,snapshot_2026_05_21.json,snapshot_2026_05_14.json
195,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,1,1,49,49,48,48,snapshot_2026_05_21.json,snapshot_2026_05_14.json
196,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,0,0,146,132,146,132,snapshot_2026_05_21.json,snapshot_2026_05_14.json
197,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,0,0,132,132,132,132,snapshot_2026_05_21.json,snapshot_2026_05_14.json
198,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,0,5,113,101,113,96,snapshot_2026_05_21.json,snapshot_2026_05_14.json
199,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,0,5,60,44,60,39,snapshot_2026_05_21.json,snapshot_2026_05_14.json
