rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
49,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,214,214,214,214,snapshot_2026_05_21.json,snapshot_2026_05_20.json
50,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,0,205,205,205,205,snapshot_2026_05_21.json,snapshot_2026_05_20.json
51,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,0,0,205,205,205,205,snapshot_2026_05_21.json,snapshot_2026_05_20.json
52,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,0,0,204,204,204,204,snapshot_2026_05_21.json,snapshot_2026_05_20.json
53,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,0,0,193,193,193,193,snapshot_2026_05_21.json,snapshot_2026_05_20.json
54,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,168,168,168,168,snapshot_2026_05_21.json,snapshot_2026_05_20.json
55,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,155,155,155,155,snapshot_2026_05_21.json,snapshot_2026_05_20.json
56,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,146,132,146,132,snapshot_2026_05_21.json,snapshot_2026_05_20.json
57,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,144,144,144,144,snapshot_2026_05_21.json,snapshot_2026_05_20.json
58,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,0,0,132,132,132,132,snapshot_2026_05_21.json,snapshot_2026_05_20.json
59,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,129,129,129,129,snapshot_2026_05_21.json,snapshot_2026_05_20.json
60,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,114,114,114,114,snapshot_2026_05_21.json,snapshot_2026_05_20.json
61,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,113,101,113,101,snapshot_2026_05_21.json,snapshot_2026_05_20.json
62,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,103,103,103,103,snapshot_2026_05_21.json,snapshot_2026_05_20.json
63,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,102,102,102,102,snapshot_2026_05_21.json,snapshot_2026_05_20.json
64,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,0,0,87,87,87,87,snapshot_2026_05_21.json,snapshot_2026_05_20.json
65,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,83,83,83,83,snapshot_2026_05_21.json,snapshot_2026_05_20.json
66,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,77,77,77,77,snapshot_2026_05_21.json,snapshot_2026_05_20.json
67,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,57,57,57,57,snapshot_2026_05_21.json,snapshot_2026_05_20.json
68,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,0,0,34,34,34,34,snapshot_2026_05_21.json,snapshot_2026_05_20.json
69,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,0,0,28,28,28,28,snapshot_2026_05_21.json,snapshot_2026_05_20.json
