rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
52,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,ROM,IT,1920000,28808,10725,2001,5.35,0.186,0.197,0.157,0.143,0.171,0.93,2347,537,1011.08,94.85,181,2050.97,46.78,8405.5,11463.49,2,0.42
53,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SPK,JP,1790860,31314,11166,1735,6.43,0.163,0.184,0.136,0.181,0.149,0.96,3220,638,1378.56,74.87,389,1165.83,88.53,5942,9962.25,1,0.91
54,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FUK,JP,1750209,24319,5981,950,6.29,0.199,0.204,0.191,0.204,0.195,0.8,1216,959,2085.54,88.32,692,2068.53,89.05,6421,8958.21,1,0.91
55,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,NAP,IT,1695981,21250,10998,1480,7.42,0.183,0.186,0.169,0.15,0.176,0.82,1452,819,1202.87,95.2,232,1844.66,62.09,10737.8,13565.74,2,0.51
56,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,YVR,CA,1677021,13943,5740,1730,3.3,0.276,0.31,0.283,0.392,0.28,0.78,1787,821,1126.07,85.84,467,1177.52,82.25,9934,13097.77,2,0.52
57,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,GPDX,US,1571997,77003,5566,4584,1.21,0.561,0.65,0.434,0.523,0.493,0.16,16608,116,451.95,75.87,128,513.04,66.84,21261,28249.38,1,0.86
58,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FSZ,JP,1563790,26863,9891,2199,4.49,0.218,0.227,0.195,0.217,0.206,0.87,2603,344,785.41,90.4,385,868.21,81.86,6157,10432.83,2,0.64
59,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,WMV,US,1527957,206527,10166,8632,1.17,0.518,0.642,0.41,0.501,0.461,0,37896,45,250.95,70.52,73,323.17,54.72,38153,67006.43,2,0.91
60,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEJ3,KR,1514790,20944,677,286,2.05,0.402,0.34,0.402,0.341,0.402,0.63,664,835,3952.59,95.1,3559,10230.18,100,5630,7282.99,3,0.78
61,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,PRG,CZ,1493589,76164,17934,4166,4.3,0.131,0.149,0.157,0.173,0.143,1,6828,110,414.85,86.41,35,536.1,66.87,11140,15799.93,1,0.68
